,Q3 2019 Dividend per Share,Q4 2019 Dividend per Share,Q1 2020 Dividend per Share,Q2 2020 Dividend per Share,Q3 2020 Dividend per Share
FHI,0.27,0.27,0.27,0.27,0.27
FDX,0.65,0.65,0.65,0.65,
FOE,0,0,0,0,0
FIS,0.35,0.35,0.35,0.35,0.35
FRGI,0,0,0,0,0
FITB,0.24,0.24,0.27,0.27,0.27
FAF,0.42,0.42,0.44,0.44,0.44
FBNC,0.12,0.18,0.18,0.18,0.18
FBP,0.03,0.05,0.05,0.05,0.05
FCF,0.1,0.1,0.11,0.11,0.11
FFBC,0.23,0.23,0.23,0.23,0.23
FFIN,0.12,0.12,0.12,0.13,0.13
FHB,0.26,0.26,0.26,0.26,0.26
FHN,0.14,0.14,0.15,0.15,0.15
FR,0.23,0.23,0.25,0.25,0.25
FMBI,0.14,0.14,0.14,0.14,0.14
FRC,0.19,0.19,0.19,0.2,0.2
FSLR,0,0,0,0,0
FCFS,0.25,0.27,0.27,0.27,0.27
FE,0.38,0.38,0.39,0.39,0.39
FISV,0,0,0,0,0
FIVE,0,0,0,0,
FBC,0.04,0.04,0.05,0.05,0.05
FLT,0,0,0,0,0
FLIR,0.17,0.17,0.17,0.17,0.17
FLO,0.19,0.19,0.19,0.2,0.2
FLS,0.19,0.19,0.2,0.2,0.2
FLR,0.21,0.1,0.1,0,#N/A
FMC,0.4,0.44,0.44,0.44,0.44
FL,0.38,0.38,0.4,0,
F,0.15,0.15,0.15,0,0
FORM,0,0,0,0,0
FORR,0,0,0,0,0
FTNT,0,0,0,0,0
FTV,0.07,0.07,0.07,0.07,0.07
FBHS,0.22,0.22,0.24,0.24,0.24
FWRD,0.18,0.18,0.18,0.18,0.18
FOSL,0,0,0,0,0
FBM,0,0,0,0,0
FCPT,0.2875,0.305,0.305,0.305,0.305
FOXA,0,0.23,0,0.23,0
FOX,0,0.23,0,0.23,0
FOXF,0,0,0,0,0
FELE,0.145,0.145,0.155,0.155,0.155
BEN,0.26,0.27,0.27,0.27,0.27
FSP,0.09,0.09,0.09,0.09,0.09
FCX,0.05,0.05,0,0,0
FDP,0.06,0.08,0.1,0.05,0.05
FCN,0,0,0,0,0
FLGT,0,0,0,0,0
FULT,0.13,0.13,0.13,0.13,0.13
FF,0.06,0.06,0.06,0.06,0.06
GME,0,0,0,0,
GCI,0.38,0.38,#N/A,#N/A,#N/A
GRMN,0.57,0.57,0.57,0.61,0.61
IT,0,0,0,0,0
GATX,0.46,0.46,0.48,0.48,0.48
GCP,0,0,0,0,0
GNRC,0,0,0,0,0
GD,1.02,1.02,1.1,1.1,1.1
GE,0.01,0.01,0.01,0.01,0.01
GIS,0.49,0.49,0.49,0.49,
GM,0.38,0.38,0.38,0,0
GCO,0,0,0,0,
GNTX,0.115,0.115,0.12,0.12,#N/A
THRM,0,0,0,0,0
GPC,0.7625,0.7625,0.79,0.79,0.79
GNW,0,0,0,0,0
GTY,0.35,0.37,0.37,0.37,0.37
ROCK,0,0,0,0,0
GIII,0,0,0,0,
GILD,0.63,0.63,0.68,0.68,0.68
GBCI,0.29,0.29,0.29,0.29,0.3
GLT,0.13,0.13,0.13,0.135,0.135
GKOS,0,0,0,0,0
GNL,0.5325,0.5325,0.4,0.4,0.4
GPN,0.01,0.195,0.195,0.195,0.195
GL,0.1725,0.1725,0.1875,0.1875,0.1875
GMED,0,0,0,0,0
GLUU,0,0,0,0,0
GMS,0,0,0,0,
GGG,0.16,0.175,0.175,0.175,0.175
GHC,1.39,1.39,1.45,1.45,1.45
LOPE,0,0,0,0,0
GVA,0.13,0.13,0.13,0.13,0.13
GPMT,0.42,0.42,0,0,0.2
GWB,0.3,0.3,0.3,0.15,0.01
GDOT,0,0,0,0,0
GPRE,0,0,0,0,0
GHL,0.05,0.05,0.05,0.05,0.05
GEF,0.44,0.44,0.44,0.44,
GFF,0.0725,0.075,0.075,0.075,0.075
GO,0,0,0,0,0
GPI,0.28,0.29,0.3,0,0
GRUB,0,0,0,0,0
GES,0.1125,0.1125,0,0,
HRB,0.26,0.26,0.26,0.26,
FUL,0.16,#N/A,0.1625,0.1625,
HAE,0,0,0,0,0
HAL,0.18,0.18,0.18,0.045,0.045
HALO,0,0,0,0,0
HWC,0.27,0.27,0.27,0.27,0.27
HBI,0.15,0.15,0.15,0.15,0.15
HNGR,0,0,0,0,0
HAFC,0.24,0.24,0.24,0.12,0.08
HOG,0.375,0.375,0.38,0.02,0
HLIT,0,0,0,0,0
HSC,0,0,0,0,0
HAS,0.68,0.68,0.68,0.68,0.68
HVT,0.2,0.2,0.2,0.15,0.2
HE,0.32,0.32,0.33,0.33,0.33
HA,0.12,0.12,0.12,#N/A,#N/A
HWKN,0.23,0.2325,0.2325,0.2325,0.2325
HAYN,0.22,0.22,0.22,0.22,0.22
HCA,0.4,0.4,0.43,0,0
HCI,0.4,0.4,0.4,0.4,0.4
HR,0.3,0.3,0.3,0.3,0.3
HCSG,0.19875,0.2,0.20125,0.2025,0.20375
HQY,0,0,0,0,
PEAK,0.37,0.37,0.37,0.37,0.37
HSTM,0,0,0,0,0
HTLD,0.02,0.02,0.02,0.02,0.02
HSII,0.15,0.15,0.15,0.15,0.15
HELE,0,0,0,0,
HLX,0,0,0,0,0
HP,0.71,0.71,0.71,0.25,0.25
HSIC,0,0,0,0,0
HFWA,0.19,0.19,0.2,0.2,0.2
MLHR,0.21,0.21,0,0,
HT,0.28,0.28,0.28,#N/A,#N/A
HSKA,0,0,0,0,0
HES,0.25,0.25,0.25,0.25,0.25
HPE,0.1125,0.12,0.12,0.12,
HXL,0.17,0.17,0.17,0,0
HIBB,0,0,0,0,
HIW,0.475,0.475,0.48,0.48,0.48
HI,0.21,0.2125,0.2125,0.2125,0.2125
HRC,0.21,0.21,0.22,0.22,0.22
HLT,0.15,0.15,0.15,#N/A,#N/A
HMSY,0,0,0,0,0
HNI,0.305,0.305,0.305,0.305,0.305
HFC,0.33,0.35,0.35,0.35,0.35
HOLX,0,0,0,0,0
HOMB,0.13,0.13,0.13,0.13,0.13
HMST,0,0,0.15,0.15,0.15
HON,0.82,0.9,0.9,0.9,0.9
HOPE,0.14,0.14,0.14,0.14,0.14
HMN,0.2875,0.2875,0.3,0.3,0.3
HRL,0.21,0.2325,0.2325,0.2325,
HST,0.2,0.2,0.2,0,0
HWM,0.02,0.02,#N/A,0,0
HPQ,0.1602,0.1762,0.1762,0.1762,
HUBG,0,0,0,0,0
HUBB,0.84,0.91,0.91,0.91,0.91
HPP,0.25,0.25,0.25,0.25,0.25
HUM,0.55,0.55,0.625,0.625,0.625
HBAN,0.15,0.15,0.15,0.15,0.15
HII,0.86,1.03,1.03,1.03,1.03
IAA,0,0,0,0,0
ICHR,0,0,0,0,0
ICUI,0,0,0,0,0
IDA,0.63,0.67,#N/A,0.67,0.67
IEX,0.5,0.5,0.5,0.5,0.5
IDXX,0,0,0,0,0
INFO,0,0.17,0.17,0.17,
IIVI,0,0,0,0,0
ITW,1.07,1.07,1.07,1.07,1.14
ILMN,0,0,0,0,0
INCY,0,0,0,0,0
IRT,0.18,0.18,0.18,0.12,0.12
INDB,0.44,0.44,0.46,0.46,0.46
IBTX,0.25,0.25,0.25,0.25,0.25
ILPT,0.33,0.33,0.33,0.33,0.33
IR,0,0,0,0,0
NGVT,0,0,0,0,0
INGR,0.63,0.63,0.63,0.63,0.64
IOSP,0,0.52,0,0.52,0
IIPR,0.78,1,1,1.06,1.17
INVA,0,0,0,0,0
INGN,0,0,0,0,0
NSIT,0,0,0,0,0
NSP,0.3,0.3,0.4,0.4,0.4
IBP,0,0,0,0,0
IIIN,0.03,0.03,0.03,0.03,0.03
ITGR,0,0,0,0,0
IART,0,0,0,0,0
INTC,0.315,0.315,0.33,0.33,0.33
IPAR,0.275,0.33,0.33,#N/A,#N/A
IBKR,0.1,0.1,0.1,0.1,0.1
ICE,0.275,0.275,0.3,0.3,0.3
IDCC,0.35,0.35,0.35,0.35,0.35
TILE,0.065,0.065,0.065,0.01,0.01
IBOC,0,0.55,0,0.55,0
IBM,1.62,1.62,1.62,1.63,1.63
IFF,0.75,0.75,0.75,0.75,0.77
IP,0.5,0.5125,#N/A,0.5125,0.5125
INTU,0.53,0.53,0.53,0.53,
ISRG,0,0,0,0,0
IVC,0.0125,0.0125,0.0125,#N/A,#N/A
IVZ,0.31,0.31,0.31,0.155,0.155
IVR,0.45,0.5,0,0.52,0.05
IRET,0.7,0.7,0.7,0.7,0.7
IPGP,0,0,0,0,0
IQV,0,0,0,0,0
IRDM,0,0,0,0,0
IRBT,0,0,0,0,0
IRM,0.611,0.6185,0.6185,0.6185,0.6185
STAR,0.1,0.1,0.1,0.11,0.11
ITRI,0,0,0,0,0
ITT,0.147,0.147,0.169,0.169,0.169
JJSF,0.5,0.575,0.575,0.575,0.575
JBHT,0.26,0.26,0.27,0.27,0.27
JCOM,0,0,0,0,0
JBL,0.08,0.08,0.08,0.08,
JKHY,0.4,0.4,0.43,0.43,0.43
JACK,0.4,0.4,0.4,0,0.4
J,0.17,0.19,0.19,0.19,0.19
JRVR,0.3,0.3,0.3,0.3,0.3
JHG,0.36,0.36,0.36,0.36,0.36
JAZZ,0,0,0,0,0
JBGS,0.225,0.45,0,0.225,0.225
JEF,0.125,0.15,0.15,0.15,
JBLU,0,0,0,0,0
JBSS,0,0,0,0.65,#N/A
JBT,0.1,0.1,0.1,0.1,0.1
JW.A,0.34,0.34,0.34,0.3425,
JNJ,0.95,0.95,0.95,1.01,1.01
JCI,0.26,0.26,0.26,0.26,0.26
JLL,0,0.43,0,#N/A,#N/A
JPM,0.9,0.9,0.9,0.9,0.9
JNPR,0.19,0.19,0.2,0.2,0.2
KALU,0.6,0.6,#N/A,0.67,0.67
KAMN,0.2,0.2,0.2,0.2,0.2
KSU,0.36,0.4,0.4,0.4,0.4
KAR,0.19,0.19,0.19,0,0
KBH,0.09,0.09,0.09,0.09,
KBR,0.08,0.08,0.1,0.1,0.1
K,0.57,0.57,0.57,0.57,0.57
KELY.A,#N/A,,,,
KMPR,0.25,0.28,0.3,0.3,0.3
KMT,0.2,0.2,0.2,0.2,0.2
KEY,0.185,0.185,0.185,0.185,0.185
KEYS,0,0,0,0,
KRC,0.485,0.485,0.485,0.485,0.5
KMB,1.03,1.03,1.07,1.07,1.07
KIM,0.28,0.28,0.28,0,0.1
KMI,0.25,0.25,0.25,0.2625,0.2625
KNSL,0.08,0.08,0.09,0.09,0.09
KEX,0,0,0,0,0
KRG,0.3175,0.3175,0.3175,0.052,0.08
KREF,0.43,0.43,0.43,0.43,0.43
KLAC,0.75,0.85,0.85,0.85,0.9
KNX,0.06,0.06,0.08,0.08,0.08
KN,0,0,0,0,0
KSS,0.67,0.67,0.704,0,
KTB,0.56,0.56,0.56,0,0
KOP,0,0,0,0,0
KFY,0.1,0.1,0.1,0.1,
KRA,0,0,0,0,0
KLIC,0.12,0.12,0.12,0.12,0.12
LB,0.3,0.3,0.3,#N/A,
LHX,0.685,0.685,0.75,0.75,0.85
LH,0,0,0,0,0
LRCX,1.15,1.15,1.15,1.15,1.3
LAMR,0.96,0.96,1,0.5,0.5
LW,0.2,0.23,0.23,0.23,
LANC,0.65,0.7,0.7,0.7,0.7
LSTR,0.185,0.185,0.185,0.185,0.21
LCI,0,0,0,0,0
LNTH,0,0,0,0,0
LPI,0,0,0,0,0
LVS,0.77,0.77,0.79,#N/A,#N/A
LZB,0.13,0.14,0.14,0,
LCII,0.65,0.65,0.65,0.65,0.75
LEA,0.75,0.75,0.77,0,0
LEG,0.4,0.4,0.4,0.4,0.4
LDOS,0.34,0.34,0.34,0.34,0.34
LMAT,0.085,0.085,0.095,0.095,0.095
TREE,0,0,0,0,0
LEN,0.04,0.125,0.125,0.125,
LII,0.77,0.77,0.77,0.77,0.77
LXP,0.1025,0.105,0.105,0.105,0.105
LGIH,0,0,0,0,0
LHCG,0,0,0,0,0
LSI,1,1,1.07,1.07,1.07
LGND,0,0,0,0,0
LECO,0.47,0.49,0.49,0.49,0.49
LNC,0.37,0.4,0.4,0.4,0.4
LIN,0.875,0.875,0.963,0.963,0.963
LNN,0.31,#N/A,0.32,0.32,
LQDT,0,0,0,0,#N/A
LAD,0.3,0.3,0.3,0.3,0.31
LFUS,0.48,0.48,0.48,0.48,0.48
LIVN,0,0,0,0,0
LYV,0,0,0,0,0
LTHM,0,0,0,0,0
LPSN,0,0,0,0,0
RAMP,0,0,0,0,0
LKQ,0,0,0,0,0
LMT,2.2,2.4,2.4,2.4,2.4
L,0.0625,0.0625,0.0625,0.0625,0.0625
LPX,0.135,0.135,0.145,0.145,0.145
LOW,0.55,0.55,0.55,0.55,
LTC,0.57,0.57,0.57,0.57,0.57
LL,0,0,0,0,0
LUMN,0.25,0.25,0.25,0.25,0.25
LITE,0,0,0,0,0
LMNX,0.09,0.09,0.09,0.09,0.09
LDL,0,0,0,0,0
LYB,1.05,1.05,1.05,1.05,1.05
MTB,1,1.1,1.1,1.1,1.1
MDC,0.3,0.3,0.33,0.33,0.33
MHO,0,0,0,0,0
CLI,0.2,0.2,0.2,0.2,#N/A
M,0.3775,0.3775,0.3775,#N/A,
MGLN,0,0,0,0,0
MANH,0,0,0,0,0
MAN,0,1.09,0,1.09,0
MANT,0.27,0.27,0.32,0.32,0.32
MRO,0.05,0.05,0.05,0,0
MPC,0.53,0.53,0.58,0.58,0.58
MMI,0,0,0,0,0
HZO,0,0,0,0,#N/A
MKTX,0.51,0.51,0.6,0.6,0.6
MAR,0.48,0.48,0.48,0,0
VAC,0.45,0.54,0.54,#N/A,#N/A
MMC,0.455,#N/A,0.455,0.465,0.465
MRTN,0.02,0.02,0.02667,0.02667,0.04
MLM,0.55,0.55,0.55,0.55,0.57
MAS,0.135,0.135,0.135,0.135,0.14
MASI,0,0,0,0,0
MTZ,0,0,0,0,0
MA,0.33,0.4,0.4,0.4,0.4
MTDR,0,0,0,0,0
MTRN,0.11,0.11,0.11,0.115,0.115
MTRX,0,0,0,0,0
MATX,0.22,0.22,0.22,0.22,0.23
MAT,0,0,0,0,0
MATW,0.2,0.21,0.21,0.21,0.21
MXIM,0.48,0.48,0.48,0.48,0.48
MMS,0.25,0.28,#N/A,0.28,0.28
MXL,0,0,0,0,0
MKC,0.285,0.31,0.31,0.31,
MCD,1.16,1.25,1.25,1.25,1.25
MCK,0.41,0.41,0.41,0.41,0.42
MDU,0.2025,0.2075,0.2075,0.2075,0.2075
MPW,0.26,0.26,0.27,0.27,0.27
MED,0.75,1.13,1.13,1.13,1.13
MD,0,0,0,0,0
MEDP,0,0,0,0,0
MDT,0.54,0.54,0.54,0.58,
MERC,0.1375,0.1375,0.1375,0.065,0.065
MRK,0.55,0.61,0.61,0.61,0.61
MCY,0.6275,0.63,0.63,0.63,0.63
MRCY,0,0,0,0,0
MDP,0.575,0.575,0.595,#N/A,#N/A
VIVO,0,0,0,0,0
MMSI,0,0,0,0,0
MTH,0,0,0,0,0
MTOR,0,0,0,0,0
MLAB,0.16,0.16,0.16,0.16,0.16
CASH,0.05,0.05,0.05,0.05,0.05
MEI,0.11,0.11,0.11,0.11,
MET,0.44,0.44,0.44,0.46,0.46
MTD,0,0,0,0,0
MTG,0.06,0.06,0.06,0.06,0.06
MGM,0.13,0.13,0.15,0.0025,0.0025
MGPI,0.1,0.1,0.12,0.12,0.12
MCHP,0.366,0.3665,0.367,0.3675,0.368
MU,0,0,0,0,
MSFT,0.51,0.51,0.51,0.51,0.56
MSTR,0,0,0,0,0
MAA,0.96,1,1,1,1
MTX,0.05,0.05,#N/A,0.05,0.05
MKSI,0.2,0.2,0.2,0.2,0.2
MHK,0,0,0,0,0
MOH,0,0,0,0,0
TAP,0.57,0.57,0.57,0,0
MCRI,0,0,0,0,0
MDLZ,0.285,0.285,0.285,0.285,0.315
MPWR,0.4,0.4,0.5,0.5,0.5
MNRO,0.22,0.22,0.22,0.22,0.22
MNST,0,0,0,0,0
MCO,0.5,0.5,0.56,0.56,0.56
MOG.A,0.25,0.25,0.25,0,0.25
MS,0.35,0.35,0.35,0.35,0.35
MPAA,0,0,0,0,0
MSI,0.57,0.64,0.64,0.64,0.64
MOV,0.2,0.2,#N/A,#N/A,
COOP,0,0,0,0,0
MSA,0.42,0.42,#N/A,0.43,0.43
MSM,0.75,0.75,0.75,0.75,
MSCI,0.68,0.68,0.68,0.68,0.78
MTSC,0.3,0.3,0.3,0,#N/A
MLI,0.1,0.1,0.1,0.1,0.1
MUR,0.25,0.25,0.25,0.125,0.125
MUSA,0,0,0,0,0
MYE,0.135,0.135,0.135,0.135,0.135
MYRG,0,0,0,0,0
MYGN,0,0,0,0,0
NBR,0.5,0.5,0.5,#N/A,#N/A
NDAQ,0.47,0.47,0.47,0.49,0.49
NBHC,0.19,0.2,0.2,0.2,0.2
FIZZ,0,0,0,0,
NFG,0.435,0.435,0.435,0.445,0.445
NATI,0.25,0.25,0.26,0.26,0.26
NOV,0.05,0.05,0.05,#N/A,#N/A
NPK,0,6,0,0,0
NNN,0.515,0.515,#N/A,0.515,0.52
NSA,0.32,0.33,0.33,0.33,0.34
NTUS,0,0,0,0,0
NAVI,0.16,0.16,0.16,0.16,0.16
NBTB,0.26,0.27,0.27,0.27,0.27
NCR,0,0,0,0,0
NP,0.45,0.45,0.47,0.47,0.47
NKTR,0,0,0,0,0
NEOG,0,0,0,0,
NEO,0,0,0,0,0
NTAP,0.48,0.48,0.48,0.48,
NFLX,0,0,0,0,0
NTGR,0,0,0,0,0
NTCT,0,0,0,0,0
NJR,0.3125,0.3125,#N/A,0.3125,0.3325
NYCB,0.17,0.17,0.17,0.17,0.17
NYMT,0.2,0.2,0,0.05,0.075
NWL,0.23,0.23,0.23,0.23,0.23
NEU,1.9,1.9,1.9,1.9,1.9
NEM,0.14,0.14,0.14,0.25,0.25
NWSA,0,0.1,0,0.1,#N/A
NWS,0,0.1,0,0.1,#N/A
NXRT,0.275,0.3125,0.3125,0.3125,0.3125
NEE,0.3125,0.3125,0.35,0.35,0.35
NXGN,0,0,0,0,0
EGOV,0.08,0.08,0.09,0.09,0.09
NLSN,0.35,0.06,0.06,0.06,0.06
NKE,0.245,0.245,0.245,0.245,
NI,0.2,0.2,0.21,0.21,0.21
NMIH,0,0,0,0,0
NDSN,0.38,0.38,0.38,0.38,
JWN,0.37,0.37,0.37,#N/A,
NSC,0.94,0.94,0.94,0.94,0.94
NTRS,0.7,0.7,0.7,0.7,0.7
NFBK,0.11,0.11,0.11,0.11,0.11
NOC,1.32,1.32,1.32,1.45,1.45
NWBI,0.18,0.18,0.19,0.19,0.19
NWN,0.475,0.4775,#N/A,0.4775,0.4775
NWE,0.575,0.575,0.6,0.6,0.6
NLOK,0.075,0.125,0.125,0.125,0.125
NCLH,0,0,0,0,0
DNOW,0,0,0,0,0
NRG,0.03,0.03,0.3,0.3,0.3
NUS,0.37,0.37,0.375,0.375,0.375
NUE,0.4,0.4025,0.4025,0.4025,0.4025
NUVA,0,0,0,0,0
NVT,0.175,0.175,0.175,0.175,0.175
NVDA,0.16,0.16,0.16,0.16,
NVR,0,0,0,0,0
OXY,0.79,0.79,0.79,0.01,0.01
OII,0,0,0,0,0
OPI,0.55,0.55,#N/A,0.55,0.55
OFG,0.07,0.07,0.07,0.07,0.07
OGE,0.3875,0.3875,0.3875,0.3875,0.4025
OI,0.05,0.05,0.05,#N/A,#N/A
OIS,0,0,0,0,0
ODFL,0.11333,0.11333,0.153333338,0.15,0.15
ONB,0.13,0.13,0.14,0.14,0.14
ORI,0.2,0.2,0.21,0.21,0.21
OLN,0.2,0.2,0.2,0.2,0.2
OLLI,0,0,0,0,
ZEUS,0.02,0.02,0.02,0.02,0.02
OHI,0.66,0.67,#N/A,0.67,0.67
OMCL,0,0,0,0,0
OMC,0.65,0.65,0.65,0.65,0.65
OGS,0.5,0.5,#N/A,0.54,0.54
OKE,0.89,0.915,0.935,0.935,0.935
OSPN,0,0,0,0,0
ONTO,0,0,0,0,0
ORCL,0.24,0.24,0.24,0.24,
OSUR,0,0,0,0,0
ORLY,0,0,0,0,0
OFIX,0,0,0,0,0
OSK,0.27,0.3,0.3,0.3,0.3
OSIS,0,0,0,0,0
OTIS,#N/A,#N/A,0,0.2,0.2
OMI,0.0025,0.0025,0.0025,0.0025,0.0025
OC,0.22,0.24,0.24,0.24,0.24
OXM,0.34,0.34,0.37,0.37,
PCAR,0.32,0.32,0.32,0.32,0.32
PPBI,0.22,0.22,0.25,0.25,0.25
PCRX,0,0,0,0,0
PKG,0.79,0.79,0.79,0.79,0.79
PACW,0.6,0.6,0.6,0.25,0.25
PLMR,0,0,0,0,0
PZZA,0.225,0.225,0.225,0.225,0.225
PARR,0,0,0,0,0
PKE,0.1,0.1,0.1,0.1,
PK,0.45,0.55,0.45,#N/A,#N/A
PRK,1.01,1.01,1.02,1.02,1.02
PH,0.88,0.88,0.88,0.88,0.88
PATK,0,0.25,0.25,0.25,0.25
PDCO,0.26,0.26,0.26,0.26,
PTEN,0.04,0.04,0.04,0.02,0.02
PAYX,0.62,0.62,0.62,0.62,
