Symbol,2015 EBITDA,2016 EBITDA,2017 EBITDA,2018 EBITDA,2019 EBITDA
MMM,8306,8493,8770,9262,8567
ABT,4421,4602,4993,7122,7605
ABBV,9277,10984,12065,13903,15932
ABMD,33.046,69.434,97.93,169.479,238.018
ACN,5130.967,5516.493,6063.031,6918.66,7246.167
ATVI,1799,2596,2508,2989,2317
ADBE,1187.791,1806.314,2461.24,3138.214,3964.918
AMD,-164,-336,211,626,847
AAP,1146.531,1067.644,848.55,901.859,917.851
AES,3749,3308,3405,3393,3211
AFL,#N/A,#N/A,#N/A,#N/A,#N/A
A,802,982,1054,1117,1172
APD,2806.7,2425.1,2530.8,2886.1,3203.3
AKAM,768.336,805.225,767.64,844.216,1008.665
ALK,1675,1838,1711,1130,1543
ALB,730.682,735.806,819.488,925.01,898.807
ARE,513.796,568.419,714.809,965.818,1140.038
ALXN,725,1106,1451.1,2019,2479.9
ALGN,206.638,272.923,391.35,521.291,617.858
ALLE,438.3,490.1,567.4,626.2,668.1
LNT,990.7,1030.2,1136.9,1211.9,1344.9
ALL,#N/A,#N/A,#N/A,#N/A,#N/A
GOOGL,23024,29321,35966,40566,47254
GOOG,23024,29321,35966,40566,47254
MO,8717,9257,9946,9693,10785
AMZN,8051,10406,13517,25330,30457
AMCR,1320.3,1341.1,1366.7,1396.4,1180.5
AEE,2152,2314,2382,2407,2341
AAL,8900,7833,6982,5606,6024
AEP,5465.8,5499.1,5456,5113,5326.2
AXP,12885,12918,12993,15119,15200
AIG,#N/A,#N/A,#N/A,#N/A,#N/A
AMT,2964.413,3465.912,3986.3,4525.6,4642.8
AWK,1512,1540,1729,1664,1786
AMP,2808,2132,2690,2965,2506
ABC,1557.126,2067.907,2441.197,2150.59,2355.069
AME,1093.776,1007.213,1070.047,1275.03,1411.422
AMGN,10266,11629,11922,12272,11779
APH,1282.4,1457.2,1658.5,1995.1,1956.7
ADI,1048.524,1260.38,1755.047,2760.353,2609.77
ANSS,431.349,449.229,470.145,535.829,594.015
ANTM,#N/A,#N/A,#N/A,#N/A,#N/A
AON,2107,1668,1665,2518,2864
AOS,456.4,526.5,589.8,623,545.1
APA,3552,2962,3642,4759,3820
AIV,560.794,578.232,594.568,592.151,536.944
AAPL,77130,68281,69428,80342,74542
AMAT,2000,2671,4227,4940,3713
APTV,2574,2219,2066,2274,2131
ADM,2221,2794,2087,2910,2671
ANET,162.979,263.158,490.912,705.047,838.174
AJG,725.7,813,896.7,1028,1219.1
AIZ,#N/A,#N/A,#N/A,#N/A,#N/A
T,48637,51721,47894,55719,58594
ATO,932.548,1000.373,1043.689,1089.017,1137.514
ADSK,262.7,117.8,-281.2,-316.5,124.2
ADP,2291.9,2536.7,2734.4,2955.5,3413.6
AZO,2222.992,2357.852,2403.191,2479.193,2578.943
AVB,1158.79,1279.549,1372.822,1451.467,1481.803
AVY,717.6,779.1,929.4,990.1,998.8
BKR,1627,1758,1604,2773,3044
BLL,1106.8,1144,1913,1625,1680
BAC,#N/A,#N/A,#N/A,#N/A,#N/A
BK,#N/A,#N/A,#N/A,#N/A,#N/A
BAX,1372,1901,2335,2523,2697
BDX,2328,3208,3182,4104,5024
BRK.B,45414,44473,33260,41889,42746
BBY,2099,2141,2389,2548,2734
BIO,292.908,258.399,261.856,320.872,428.461
BIIB,4172.3,5148.9,5457.3,5813.2,6293.9
BLK,5015,4918,5671,5803,6256
BA,9003,7448,12166,13915,335
BKNG,3531.401,4156.148,5142.758,5767,5986
BWA,1355.9,1507.1,1620.5,1718.9,1671
BXP,1488.254,1524.103,1529.335,1569.281,1732.23
BSX,1559,2051,2369,2631,2722
BMY,4621,5805,6111,7097,8248
AVGO,2812,3821,7412,9448,10111
BR,605.4,672.8,786.2,887.4,810.4
BF.B,1033,1034,987,1112,1189
CHRW,924.719,912.2,868.096,1008.812,890.425
COG,583.209,512.597,999.313,1257.779,1203.877
CDNS,408.806,406.544,448.885,526.019,623.206
CPB,1478,1446,1987,1398,1555
COF,#N/A,#N/A,#N/A,#N/A,#N/A
CAH,2821,3544,3198,3556,2806
KMX,641.775,702.985,713.065,754.15,778.763
CCL,4200,4809,5048,5342,5437
CARR,#N/A,#N/A,2916,3055,2911
CTLT,418.8,370.1,407.5,477.9,541.4
CAT,7731,5148,8556,11434,11070
CBOE,366.202,342.577,649.5,833.5,762.3
CBRE,1139.269,1166.552,1492.319,1578.327,1833.926
CDW,976.1,1073.7,1127.4,1252.9,1393.6
CE,1079,1193,1223,1672,1381
CNC,#N/A,#N/A,#N/A,#N/A,#N/A
CNP,1880,2032,2029,2120,2377
CERN,1325.361,1455.249,1541.194,1417.376,1374.635
CF,2121,1153,1187,1566,1808
SCHW,2509,3319,4079,5112,5224
CHTR,3400,10348,15040,15774,16540
CVX,19329,14113,22141,33890,29381
CMG,907.722,204.226,459.828,591.873,863.962
CB,#N/A,#N/A,#N/A,#N/A,#N/A
CHD,770.3,834.7,857.2,927.3,1022.6
CI,#N/A,#N/A,#N/A,#N/A,#N/A
CINF,#N/A,#N/A,#N/A,#N/A,#N/A
CTAS,850.731,932.832,1047.28,1268.407,1508.037
CSCO,14034,15123,15046,14909,16435
C,#N/A,#N/A,#N/A,#N/A,#N/A
CFG,#N/A,#N/A,#N/A,#N/A,#N/A
CTXS,850.327,808.513,814.645,875.424,792.666
CLX,1171,1233,1285,1292,1289
CME,2206.9,2455.7,2517.3,2892.6,3073.4
CMS,1914,2107,2219,2095,2231
KO,11774,11151,10038,11194,11869
CTSH,2543,2651,3005,3247,3309
CL,4419,4403,4484,4361,4281
CMCSA,24856,26478,27706,30024,34078
CMA,#N/A,#N/A,#N/A,#N/A,#N/A
CAG,1783.9,1019.5,1391,1212.1,1737.4
CXO,1016.37,947.286,1703,2860,2885
COP,7111,5876,9849,15183,13549
ED,3743,3892,4106,3971,4336
STZ,1778.7,2125.6,2542.5,2830,3100
COO,551.074,610.2,670,771.6,849.6
CPRT,391.691,455.045,539.564,732.674,801.37
GLW,2480,2695,2799,2873,2798
CTVA,#N/A,4249,2792,2331,2187
COST,4816,5005,5563,5985,6315
CCI,2106.824,2116.44,2388,2915,3105
CSX,4792,4575,5063,5974,6094
CMI,2600,2314,2484,2986,3174
CVS,11785,13126,12525,13490,17040
DHI,1199.8,1445.1,1719.1,2102.8,2126.8
DHR,3298.5,4115.4,4387.8,4247.8,4551.9
DRI,773.7,906.9,927.8,1098.8,1161.7
DVA,2495.628,2191.367,2182.636,2092.184,2370.682
DE,4355.5,4467.5,5764.8,7069.4,7686
DAL,10215,9183,8259,7596,9239
XRAY,561.2,774.7,833.2,688.4,763.4
DVN,-2044,2292,2479.9999,2630,1811
DXCM,-46.3,-48.9,-17.2,-151.8,191
FANG,293.059,355.998,933.17,1672.79,2939
DLR,916.205,1183.291,1318.092,1705.414,1739.102
DFS,#N/A,#N/A,#N/A,#N/A,#N/A
DISCA,2408,2440,2585,4004,4495
DISCK,2408,2440,2585,4004,4495
DISH,2980.351,3271.611,2834.942,2869.645,2516.453
DG,2127.646,2304.725,2456.18,2455.449,2588.84
DLTR,1276.1,1578.1,2346,2634.4,2427.6
D,5018,5169,5928,5980,7358
DPZ,438.073,492.182,565.601,619.454,689.637
DOV,1303.055,1115.351,1142.424,1230.579,1326.28
DOW,#N/A,5944,7328,8314,6272
DTE,2286,2595,2707,2871,2990
DUK,8186,8949,9517,9522,10269
DRE,527.205,417.53,461.346,536.584,579.183
DD,8688,8762,11158,4320,4854
DXC,704,872,1116,4104,4304
EMN,2293,2122,2111,2074,1933
ETN,3427,3396,3589,3885,3945
EBAY,2797,2979,2957,2919,3000
ECL,2842.4,2858.1,3092.8,2919.8,3152.3
EIX,4018,4211,4300,4128,4012
EW,641.7,886.7,1099.1,1169.7,1312.5
EA,1306,1061,1417,1575,1147
EMR,3776,3317,3276,3697,3953
ETR,3444.689,3750.051,3873.357,3102.241,3951.837
EOG,3202.731,2857.833,4898.906,8248.258,7690.724
EFX,912.6,1113.4,1119.5,804.5,808.1
EQIX,1110.326,1575.499,1821.129,2249.772,2487.742
EQR,1757.256,1523.329,1577.883,1630.927,1730.495
ESS,820.171,858.272,1022.176,947.738,1031.047
EL,1981,2221,2397,2964,3072
ETSY,16.666,40.653,56.152,101.279,140.692
EVRG,958.562,1057.316,1094.6,1744,2098.9
ES,2452.359,2647.021,2752.037,3023.886,2910.793
RE,#N/A,#N/A,#N/A,#N/A,#N/A
EXC,7373,10585,9840,10161,9738
EXPE,914.195,1373.199,1556.832,1742,1837
EXPD,767.496,716.959,749.57,850.582,817.642
EXR,417.127,613.598,726.048,806.204,865.932
XOM,30931,23244,32066,39574,30762
FFIV,605.482,613.204,633.965,666.325,588.263
FB,8239,14769,23228,29228,34727
FAST,913.942,899.359,1008.2,1136.9,1204.7
FRT,475.05,521.28,554.633,600.579,598.14
FDX,4951,6146,8420,8224,8139
FIS,1939,2753,2976,3129,4204
FITB,#N/A,#N/A,#N/A,#N/A,#N/A
FE,3860,4144,3802,3495,3659
FRC,#N/A,#N/A,#N/A,#N/A,#N/A
FISV,1728,1866,1955,2081,3362
FLT,853.494,951.554,1142.269,1373.689,1504.451
FLIR,356.659,354.662,385.184,421.93,403.491
FLS,746.968,541.755,371.184,422.309,536.01
FMC,623.1,492.7,614.3,1094.7,1217.5
F,15852,12296,12878,11461,9039
FTNT,57.359,95.761,167.42,286.7,405.8
FTV,1470.9,1444.5,1319.9,1446.2,1589.9
FBHS,630.3,778.2,836,840.8,939.3
FOXA,#N/A,2186,2729,2439,2643
FOX,#N/A,2186,2729,2439,2643
BEN,3169.9,2527.8,2470.3,2161.5,1665.8
FCX,3201,3270,5095,6963,2081
GPS,2610,2148,2063,2063,1905
GRMN,627.941,710.249,769.889,874.537,1051.761
IT,361.303,409.708,392.292,622.513,677.795
GD,4660,4187,4618,5220,5477
GE,18645,20771,7970,17055,14355
GIS,3427.6,3373.8,3392.6,3293.1,3534.2
GM,14071,19948,20822,18027,19981
GPC,1266.089,1217.259,1166.233,1387.455,1400.703
GILD,22689,19150,15610,10536,6364
GL,#N/A,#N/A,#N/A,#N/A,#N/A
GPN,598.702,701.356,1023.08,1315.968,1991.438
GS,#N/A,#N/A,#N/A,#N/A,#N/A
GWW,1605.287,1407.967,1410,1598,1615
HAL,3671,1973,3565,4338,2780
HBI,962.384,1001.155,1055.802,1068.973,1088.134
HIG,#N/A,#N/A,#N/A,#N/A,#N/A
HAS,830.055,951.83,1020.583,633.222,913.867
HCA,7822,8152,8188,8871,9814
PEAK,1205.241,1276.266,1085.392,1034.177,1018.304
HSIC,928.03,987.245,1057.766,837.104,917.908
HSY,1664.938,1770.313,1882.973,1975.532,1949.082
HES,2223,1125,1979,2469,2773
HPE,7168,6230,5064,4949,4779
HLT,2466,1308,1468,1757,1951
HFC,1501.264,973.546,1388.352,2054.317,1952.643
HOLX,975,1024.5,951.8,988.3,1031.2
HD,12288,13765,15437,16913,17929
HON,8148,8378,8267,8911,8415
HRL,1238.419,1428.221,1366.354,1302.382,1335.277
HST,1333,1392,1414,1467,1470
HWM,1370,1749,1918,1922,2187
HPQ,7202,3755,4550,4292,4546
HUM,#N/A,#N/A,#N/A,#N/A,#N/A
HBAN,#N/A,#N/A,#N/A,#N/A,#N/A
HII,1087,1023,1074,1123,970
IEX,509.027,538.065,587.254,661.715,678.623
IDXX,356.402,424.836,496.141,578.118,631.197
INFO,462.2,779.8,1148.3,1320.7,1559.7
ITW,3344,3534,3861,4045,3828
ILMN,749.525,724.082,784,1062,1181
INCY,95.534,222.445,-183.505,210.365,476.221
IR,399.747,345.369,328,640.6,527.2
INTC,23580,22603,26576,32282,33254
ICE,2212,2857,3126,3313,3337
IBM,19028,16704,16219,17279,16676
IP,3726,2573,3778,4324,3783
IPG,1028.1,1098.2,1095.5,1211.7,1398.4
IFF,667.079,708.624,708.675,873.768,1105.492
INTU,1117,1480,1631,1813,2079
ISRG,831.5,1045.3,1183.2,1364.7,1574.7
IVZ,1399.8,1375,1582,1412.4,1748
IPGP,381.87,423.142,630.302,597.526,387.138
IQV,813.526,1136,1786,1951,2059
IRM,853.994,1089.347,1272.174,1419.87,1436.868
JKHY,436.861,471.871,504.218,602.271,618.871
J,752.011,656.476,613.47,691.77,837.09
JBHT,1054.026,1088.02,1017.777,1129.021,1288.944
SJM,1112.8,1721,1697.4,1674.9,1708.7
JNJ,22114,25104,24982,28182,28559
JCI,3327,2426,4340,2749,2268
JPM,#N/A,#N/A,#N/A,#N/A,#N/A
JNPR,1092.2,1111.5,1136.1,794.5,712.8
KSU,1088.4,1120.5,1242.5,1315.1,1405.8
K,1956,2174,2236,2400,2017
KEY,#N/A,#N/A,#N/A,#N/A,#N/A
KEYS,546,539,469,676,1015
KMB,4000,4068,4109,4033,4213
KIM,759.635,729.709,755.621,727.46,704.991
KMI,6354,6066,5700,6365,6292
KLAC,769.064,1058.954,1325.893,1599.817,1658.107
KHC,4474,8435,8006,6779,5999
KR,5209,5711,5775,5413,5168
LB,2391,2649,2555,2298,1928
LHX,1124,1518,1404,1432,1753
LH,1710.7,1892.3,1909.3,1925.9,2211.2
LRCX,1140.851,1405.661,2224.071,3546.006,2771.462
LW,487.6,474,656.2,722.8,829.4
LVS,3933,3813,4663,5018,4987
LEG,591.7,601.1,576.7,574.9,699
LDOS,403,637,1021,1032,1133
LEN,1134.669,1331.401,1450.515,2078.586,2599.435
LLY,5019.8,5367.9,6498.5,7394.3,7022.1
LNC,#N/A,#N/A,#N/A,#N/A,#N/A
LIN,3577,3437,3676,4074,7943
LYV,543.556,598.715,545.963,749.521,846.764
LKQ,852.33,1007.246,1095.67,1241.913,1293.205
LMT,5530,6243,7416,8598,9323
L,#N/A,#N/A,#N/A,#N/A,#N/A
LOW,6406,6568,7403,8126,7712
LUMN,6826,6474,6340,8809,8843
LYB,7133,6106,6675,6479,5581
MTB,#N/A,#N/A,#N/A,#N/A,#N/A
MRO,1765,1349,2454,3758,3044
MPC,5909,4797,5891,7761,9988
MKTX,166.442,209.44,221.042,235.664,283.534
MAR,1517,1922,2942,2805,2341
MMC,2790,2955,2917,2742,3534
MLM,758.234,963.08,995.497,1042.154,1266
MAS,1080,1263,1350,1254,1268
MA,5454,6257,7315,8816,10324
MKC,716.3,767.5,911.6,1083.9,1135.7
MXIM,743.021,766.849,852.3,994.506,864.609
MCD,8910.6,9336.7,9752.9,10067.8,10432
MCK,4548,4736,4267,3872,4027
MDT,6061,8933,9489,9290,9758
MRK,13812,15932,12165,14292,16985
MET,#N/A,#N/A,#N/A,#N/A,#N/A
MTD,577.723,608.984,686.04,767.672,817.069
MGM,1909.71,2127.993,2569.435,2508.987,2887.072
MCHP,706.758,684.373,1030.333,1569.7,1990.1
MU,5623,3209,9743,19696,12849
MSFT,33043,26614,36631,44827,54218
MAA,575.484,631.513,876.748,893.701,946.673
MHK,1399.317,1787.938,1849.785,1751.329,1546.667
TAP,665.5,859.8,2380.5,2350.3,2355.9
MDLZ,5098,4784,5210,4687,5274
MNST,962.778,1204.704,1282.499,1367.198,1474.939
MCO,1586.9,1641.2,2001.6,2117.1,2275
MS,#N/A,#N/A,#N/A,#N/A,#N/A
MOS,2169.1,1190.2,1291.7,2121.8,1448.6
MSI,1261,1541,1679,1763,2085
MSCI,481.697,569.457,659.757,772.433,857.599
MYL,2798.1,3091.1,3418.6,3353.1,2821.9
NDAQ,1040,1126,1223,1377,1276
NOV,2322,-550,425,897,88
NTAP,1009.3,693,927,1138,1381
NFLX,3852.871,5304.771,7169.064,9261.683,11924.08
NWL,901,1607.5,903.6,1266,1253.4
NEM,1855,2331,2691,2560,3764
NWSA,995,861,895,1038,1251
NWS,995,861,895,1038,1251
NEE,6461,6819,7637,7970,8048
NLSN,1718,1851,1940,1752,1747
NKE,4656,4653,5020,5247,5429
NI,1325.9,1404.3,1486.4,725.5,2022.6
NSC,3978,4131,4577,5061,5031
NTRS,#N/A,#N/A,#N/A,#N/A,#N/A
NOC,3543,3649,3693,4580,5234
NLOK,669,892,823,1159,628
NCLH,1048.365,1285.651,1540.582,1751.623,1811.086
NRG,2981,2111,1051,1826,1642
NUE,1352.73,2151.693,2647.727,4124.536,2668.913
NVDA,1016.469,1145,2156,3422,4112
NVR,566.352,611.244,776.559,855.163,903.771
ORLY,1743.277,1917.072,1959.245,2074.121,2193.501
OXY,5035,3269,5100,6896,7188
ODFL,675.961,689.677,804.16,1068.022,1100.933
OMC,2211.2,2301.8,2365.9,2368.5,2353.8
OKE,1347.734,1641.524,1912.501,2293.156,2343.118
ORCL,17150,15613,15727,17104,16974
OTIS,#N/A,#N/A,2087,2046,2072
PCAR,3198.2,2922.6,3381.4,3611,3942.6
PKG,1116,1161.6,1342.3,1514.1,1468.7
PH,1785.557,1604.8,1805.357,2479.789,2559.954
PAYX,1160.2,1261.7,1366.5,1462.1,1558.1
PAYC,43.856,71.603,149.105,203.372,268.435
PYPL,1935,2191,2785,3047,3166
PNR,806.7,919.5,496,561.9,526.5
PBCT,#N/A,#N/A,#N/A,#N/A,#N/A
PEP,12479,12516,12667,12799,13080
PKI,372.156,405.645,409.633,551.556,619.507
PRGO,986.8,1113.1,1114.5,908.3,832.9
PFE,18453,20031,20660,21673,20127
PM,11479,11867,12451,12363,12851
PSX,5252,2723,3354,6421,4589
PNW,1540.653,1398.439,1613.094,1442.15,1422.565
PXD,875,1194,2259,3838,3648
PNC,#N/A,#N/A,#N/A,#N/A,#N/A
POOL,233.61,277.836,310.096,341.804,370.52
PPG,2459,2445,2441,2252,2398
PPL,3813,4078,4027,4044,4139
PFG,#N/A,#N/A,#N/A,#N/A,#N/A
PG,17873,17559,17353,17254,17336
PGR,#N/A,#N/A,#N/A,#N/A,#N/A
PLD,1260.545,1599.363,1650.206,1794.216,2131.827
PRU,#N/A,#N/A,#N/A,#N/A,#N/A
PEG,3945,3030,3545,3842,3316
PSA,1658.017,1807.81,1877.668,2047.454,1978.057
PHM,838.508,1031.171,1038.037,1397.018,1415.468
PVH,1030.4,1035.4,1056.5,991.7,1287.3
QRVO,393.854,737.719,821.33,882.668,956.833
PWR,497.247,537.002,647.748,832.909,862.368
QCOM,8641,8240,6546,5317,9482
DGX,1508,1478,1553,1533,1549
RL,1343,1040,787.1,959.6,994
RJF,950.764,1003.984,1175.42,1518.807,1603
RTX,9922,9706,8753,9497,11875
O,923.492,999.28,1105.092,1196.997,1346.571
REG,345.268,286.346,658.765,746.246,709.165
REGN,1326.825,1435.486,2225.058,2682.6,2420.1
RF,#N/A,#N/A,#N/A,#N/A,#N/A
RSG,2637.3,2682.4,2774.4,2878,2956.6
RMD,487.16,522.715,568.889,680.223,786.781
RHI,633.945,617.537,581.21,653.169,686.015
ROK,1323,1160.3,1206.4,1474.2,1496.3
ROL,285.587,311.031,350.914,375.94,398.505
ROP,1236.003,1301.362,1553.757,1762.4,1912.3
ROST,1721.309,1899.199,2105.159,2361.559,2371.071
RCL,2361.921,2665.163,2806.037,2925.971,3298.751
SPGI,2102,2541,2974,3036,3412
CRM,302.663,600.42,709.482,1706,2157
SBAC,1079.124,1068.879,1150.665,1254.374,1350.997
SLB,9798,6625,6786,6708,6521
STX,2324,1491,2047,2334,2003
SEE,1088.8,737.1,741.6,849.4,828.4
SRE,3337,3001,3780,3248,4314
NOW,-106.009,-68.908,50.904,106.774,412.637
SHW,1813.68,1977.543,2206.156,2662.951,3402.9
SPG,3855.678,3973.99,4082.477,4198.152,4167.052
SWKS,1222.3,1371.3,1507.9,1607.4,1330.4
SLG,1006.781,980.918,839.535,1049.694,845.225
SNA,842.6,939.9,974.4,1052.3,1051.7
SO,7071,8019,9435,8880,8475
LUV,5585,4743,5177,4374,4224
SWK,1942.2,2073,2332.7,2391.5,2510.4
SBUX,4300.6,4939.5,5018.3,5165.6,5353.9
STT,#N/A,#N/A,#N/A,#N/A,#N/A
STE,328.592,471.496,505.9,609.467,684.114
SYK,2649,3123,3409,3827,4166
SIVB,#N/A,#N/A,#N/A,#N/A,#N/A
SYF,7158,8251,9359,10113,10093
SNPS,523.198,558.97,627.721,609.645,786.236
SYY,2319.829,2655.2,3090.671,3118.797,3241.461
TMUS,6762,9334,10245,11794,13088
TROW,2079.7,2006.8,2353.9,2461.1,2746.8
TTWO,-103.609,223.906,352.576,310.731,462.14
TPR,947.6,908.2,1031.6,1252.2,1176.7
TGT,6304,6748,6678,6791,6676
TEL,2572,2511,2698,3117,2884
FTI,#N/A,#N/A,1905.2,1508.1,1600
TDY,381.1,345.8,456.6,529.1,607.9
TFX,438.824,504.485,562.512,675.533,716.443
TER,388.822,420.221,635.28,595.553,657.229
TXN,5346,5739,6937,7670,6737
TXT,1584,1607,1468,1527,1459
TMO,4182.7,4616.9,5300,6138,6536
TIF,1071.043,996.1,977.7,1026.1,1015.1
TJX,4162.666,4303.781,4524.721,4753.158,4958.782
TSCO,774.077,837.038,852.216,879.088,939.198
TT,1853.9,1952,2079.4,2373.1,2519.4
TDG,1192.465,1423.73,1630.489,1804.812,2238.307
TRV,#N/A,#N/A,#N/A,#N/A,#N/A
TFC,#N/A,#N/A,#N/A,#N/A,#N/A
TWTR,-124.313,136.26,441.305,874.523,831.922
TYL,133.517,181.606,216.058,213.292,233.039
TSN,3049,3585,4018,4217,4034
UDR,540.918,597.332,667.287,794.466,732.224
ULTA,556.545,686.028,883.69,1062.29,1153.319
USB,#N/A,#N/A,#N/A,#N/A,#N/A
UAA,512.287,578.941,325.239,341.2,399.703
UA,512.287,578.941,325.239,341.2,399.703
UNP,10064,9281,10211,10708,10770
UAL,7808,7133,5882,5840,6819
UNH,#N/A,#N/A,#N/A,#N/A,#N/A
UPS,9429,7295,9776,9281,10236
URI,2778,2703,3008,3689,4209
UHS,1640.798,1691.68,1725.343,1680.344,1803.931
UNM,#N/A,#N/A,#N/A,#N/A,#N/A
VFC,2593.877,1897.895,1897.895,1565.6,1532.691
VLO,7729,5592,5867,6743,6173
VAR,602.515,515.3,452.7,569.8,580.5
VTR,1730.201,1864.586,1932.144,1835.762,1913.836
VRSN,667.437,744.739,757.6,815.759,852.457
VRSK,898,980.8,1045.4,1131.7,1154.8
VZ,48823,41838,43473,47410,47189
VRTX,-402.33,72.596,459.326,737.638,1276.42
VIAC,2799,2875,3128,17722,17496
V,9572,10526,12719,14174,16057
VNT,#N/A,#N/A,566.9,586,647.6
VNO,1535.967,1075.064,985.85,1158.527,4117.312
VMC,846.912,970.771,974.506,1113.82,1295.293
WRB,#N/A,#N/A,#N/A,#N/A,#N/A
WAB,700.501,572.456,565.827,659.934,1332.5
WMT,36320,33559,32115,31732,33835
WBA,6663,8087,7914,7908,7165
DIS,15197,16786,16591,17925,15891
WM,3477,3804,4088,4307,4426
WAT,670.091,733.596,779.366,854.545,828.597
WEC,1965.6,2486.8,2570,2272.1,2468.5
WFC,#N/A,#N/A,#N/A,#N/A,#N/A
WELL,2045.563,2205.342,1946.822,2052.329,2287.898
WST,215.6,306.2,326.4,359.2,400.6
WDC,2923,2064,4350,5879,2065
WU,1426.2,1358.2,1208.4,1381.9,1308.1
WRK,1703.5,1883.3,2194.2,2587.5,2971.1
WY,1234,1563,1998,1904,1186
WHR,2155,2146,2144,1810,1702
WMB,3291,3513,3583,3795,4115
WLTW,787,1647,1880,1724,2089
WYNN,1059.066,1081.109,1634.625,1803.187,1605.192
XEL,3385.405,3643.769,3812,3719,3983
XRX,1759,1553,1682,1637,1573
XLNX,854.483,738.322,762.02,816.127,1061.159
XYL,625,660,849,976,966
YUM,1774,1847,1959,1954,2059
ZBRA,513,597,659,791,857
ZBH,1896.9,2382.6,2463.5,2211.9,2214
ZION,#N/A,#N/A,#N/A,#N/A,#N/A
ZTS,1281,1644,1969,2189,2430
